Region,Item Type,Sales Channel,Order Date,Units Sold,Total Profit
Asia,Cosmetics,Offline,11/19/16,6952,1208744.24
Central America and the Caribbean,Snacks,Online,6/30/16,2225,122686.5
Europe,Personal Care,Online,5/7/16,5070,127054.2
Sub-Saharan Africa,Cereal,Offline,3/29/16,962,85223.58
Europe,Cosmetics,Online,12/31/16,8867,1541705.29
Central America and the Caribbean,Clothes,Offline,7/25/16,5498,403773.12
Middle East and North Africa,Cosmetics,Online,11/15/16,6489,1128242.43
Europe,Beverages,Offline,10/23/16,4660,72975.6
Sub-Saharan Africa,Office Supplies,Offline,12/6/16,948,119685
Sub-Saharan Africa,Vegetables,Offline,6/1/16,1485,93748.05
